Rank,Patent_Number,Title,Integrated_Score,Confidence,Technology_Theme,Scientific_Robustness,Manufacturing_Feasibility,Modernization_Potential,Strategic_Fit,NPV_Base,Recommendation_Tier,Red_Flags
1,3930752,Oil well pumpoff control system utilizing integration timer,6.97,0.75,sensors,6.5,7.0,7.5,7.2,186318.0,1,
2,3932795,Servo control positioning apparatus including a standing wave detector,6.97,0.75,sensors,6.5,7.0,7.5,7.2,186318.0,1,
3,3930281,Floor cleaning machine,6.82,0.75,apparatus,6.5,5.5,7.5,6.5,186318.0,2,
4,3935381,Electronic solid state sensor image size control,6.75,0.75,sensors,5.0,7.0,7.5,7.2,186318.0,1,
5,3932803,Electronic monitoring system including contactless motion detector,6.75,0.75,sensors,5.0,7.0,7.5,7.2,186318.0,1,
6,3934685,Wheel speed sensor assembly,6.67,0.75,sensors,7.0,7.0,6.0,6.5,186318.0,2,
7,3932756,X-ray detector for a panoramic X-ray device,6.67,0.75,sensors,5.0,7.0,6.0,6.5,186318.0,2,
8,3935542,Contactless oscillator-type proximity sensor with constant-voltage impedance,6.66,0.75,sensors,6.5,6.5,7.0,6.8,93159.0,2,
9,3930684,Automatic wafer feeding and pre-alignment apparatus and method,6.64,0.75,sensors,6.5,6.5,7.5,7.0,93159.0,2,
10,3934205,"Frequency lock loop employing a gated frequency difference detector having positive, zero and negative threshold detectors",6.64,0.75,sensors,6.5,6.5,7.5,7.0,93159.0,2,
11,3932246,Gas sensor and method of manufacture,6.64,0.75,sensors,7.0,7.5,6.0,6.8,93159.0,2,
12,3933612,Glass electrode structure for radio capsule,6.64,0.75,sensors,7.0,6.5,6.0,6.2,93159.0,2,
13,3930729,Interferometer apparatus incorporating a spherical element of index of refraction of two,6.6,0.75,sensors,6.5,7.0,6.0,6.5,186318.0,2,
14,3934678,Flow monitor for circulating lubrication systems,6.6,0.75,sensors,6.5,7.0,6.0,6.5,186318.0,2,
15,3933028,Air/fuel ratio sensor for air/fuel ratios in excess of stoichiometry,6.56,0.75,sensors,6.5,7.5,6.0,6.8,93159.0,2,
16,3930397,Combustion testing apparatus,6.52,0.75,materials,6.5,5.5,7.5,6.5,186318.0,2,
17,3933029,Gas detector with automatically operable fan switch,6.49,0.75,sensors,5.5,6.5,7.5,7.0,93159.0,2,
18,3932872,Core design for flexible H-sensor for ELF,6.49,0.75,sensors,7.0,6.5,6.0,6.2,93159.0,2,
19,3930630,Vacuum cleaner support apparatus,6.45,0.75,apparatus,6.5,5.5,6.0,5.8,186318.0,2,
20,3930406,Cigarette ends firmness detector,6.45,0.75,sensors,5.5,7.0,6.0,6.5,186318.0,2,
21,3930324,Mechanical excavating machines including rotary cutter and suction tube,6.45,0.75,sensors,5.5,7.0,6.0,6.5,186318.0,2,
22,3931571,Eddy current metal surface flaw detector,6.45,0.75,sensors,5.5,7.0,6.0,6.5,186318.0,2,
23,3935464,Multiple cathode gas proportional detector,6.45,0.75,sensors,5.5,7.0,6.0,6.5,186318.0,2,
24,3930494,Method and apparatus for the indirect measurement of blood pressure,6.41,0.75,sensors,5.0,6.5,7.5,7.0,93159.0,2,
25,3930726,System for measuring volumetric ratios of liquid suspended solids,6.41,0.75,sensors,5.5,6.5,6.0,6.2,93159.0,2,
26,3931619,Overtemperature monitor and integrator apparatus,6.37,0.75,sensors,5.0,7.0,6.0,6.5,186318.0,2,
27,3930412,Electrically scanned pressure transducer configurations,6.37,0.75,sensors,5.0,7.0,6.0,6.5,186318.0,2,
28,3932108,Apparatus for making probe covers for electronic thermometers,6.37,0.75,apparatus,5.5,5.5,7.5,6.5,186318.0,2,
29,3931538,Signal detector for a semiconductor memory device,6.37,0.75,sensors,5.0,7.0,6.0,6.5,186318.0,2,
30,3935468,Light responsive detector,6.37,0.75,sensors,5.0,7.0,6.0,6.5,186318.0,2,
31,3931573,Radiation detector,6.37,0.75,sensors,5.0,7.0,6.0,6.5,186318.0,2,
32,3935079,Method and apparatus for displaying active oxygen and sensor temperature,6.34,0.75,sensors,7.0,6.5,6.0,6.2,93159.0,2,
33,3933438,Combustible gas sensor for closed loop fuel control,6.34,0.75,sensors,7.0,6.5,6.0,6.2,93159.0,2,
34,3930734,Process and apparatus for sensing magnitude and direction of lateral displacement,6.34,0.75,sensors,7.0,6.5,6.0,6.2,93159.0,2,
35,3930730,Interferometric device for measurement of variations in length of a sample under the influence of temperature,6.34,0.75,sensors,7.0,6.5,6.0,6.2,93159.0,2,
36,3934143,Detector for ionizing radiation,6.34,0.75,sensors,7.0,6.5,6.0,6.2,93159.0,2,
37,3931521,Dual spectrum infrared fire detector,6.34,0.75,sensors,5.0,6.5,6.0,6.2,93159.0,2,
38,3930422,Power transmission apparatus,6.3,0.75,apparatus,5.0,5.5,7.5,6.5,186318.0,2,
39,3930404,"Inside diameter, outside diameter and wall tube gage",6.3,0.75,materials,5.0,5.5,7.5,6.5,186318.0,2,
40,3935433,Electromagnetically operated remote meter or register having counter wheel locking means,6.3,0.75,apparatus,5.0,5.5,7.5,6.5,186318.0,2,
41,3932738,Transition monitor for a unit transition counter,6.26,0.75,sensors,6.5,6.5,6.0,6.2,93159.0,2,
42,3933248,Bird-swing detector,6.26,0.75,sensors,6.5,6.5,6.0,6.2,93159.0,2,
43,3930545,Tiltable coupling,6.26,0.75,sensors,6.5,6.5,6.0,6.2,93159.0,2,
44,3931559,Malfunction detector circuit for the use with a pump-off control circuit,6.26,0.75,sensors,6.5,6.5,6.0,6.2,93159.0,2,
45,3934193,Electrolytic conductivity detector,6.26,0.75,sensors,6.5,6.5,6.0,6.2,93159.0,2,
46,3930817,Extraction apparatus,6.22,0.75,apparatus,5.0,5.5,6.0,5.8,186318.0,2,
