Rank,Patent_Number,Title,Integrated_Score,Confidence,Technology_Theme,Scientific_Robustness,Manufacturing_Feasibility,Modernization_Potential,Strategic_Fit,Net_Present_Value_Base,Recommendation_Tier,Red_Flags
1,3930752,Oil well pumpoff control system utilizing integration timer,6.37,0.75,sensors,6.5,7.0,7.5,7.2,-116356.0,1,Negative Net Present Value in base scenario
2,3932795,Servo control positioning apparatus including a standing wave detector,6.37,0.75,sensors,6.5,7.0,7.5,7.2,-116356.0,1,Negative Net Present Value in base scenario
3,3935542,Contactless oscillator-type proximity sensor with constant-voltage impedance,6.16,0.75,sensors,6.5,6.5,7.0,6.8,-157171.0,2,Negative Net Present Value in base scenario
4,3930684,Automatic wafer feeding and pre-alignment apparatus and method,6.15,0.75,sensors,6.5,6.5,7.5,7.0,-152171.0,2,Negative Net Present Value in base scenario
5,3933612,Glass electrode structure for radio capsule,6.15,0.75,sensors,7.0,6.5,6.0,6.2,-152171.0,2,Negative Net Present Value in base scenario
6,3930281,Floor cleaning machine,6.14,0.75,apparatus,6.5,5.5,7.5,6.5,-155641.0,2,Negative Net Present Value in base scenario
7,3934205,"Frequency lock loop employing a gated frequency difference detector having positive, zero and negative threshold detectors",6.14,0.75,sensors,6.5,6.5,7.5,7.0,-157171.0,2,Negative Net Present Value in base scenario
8,3935381,Electronic solid state sensor image size control,6.12,0.75,sensors,5.0,7.0,7.5,7.2,-128274.0,1,Negative Net Present Value in base scenario
9,3932803,Electronic monitoring system including contactless motion detector,6.12,0.75,sensors,5.0,7.0,7.5,7.2,-128274.0,1,Negative Net Present Value in base scenario
10,3934685,Wheel speed sensor assembly,6.07,0.75,sensors,7.0,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
11,3932756,X-ray detector for a panoramic X-ray device,6.07,0.75,sensors,5.0,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
12,3932246,Gas sensor and method of manufacture,6.05,0.75,sensors,7.0,7.5,6.0,6.8,-201458.0,2,Negative Net Present Value in base scenario
13,3934678,Flow monitor for circulating lubrication systems,6.02,0.75,sensors,6.5,7.0,6.0,6.5,-104438.0,2,Negative Net Present Value in base scenario
14,3930729,Interferometer apparatus incorporating a spherical element of index of refraction of two,6.0,0.75,sensors,6.5,7.0,6.0,6.5,-113162.0,2,Negative Net Present Value in base scenario
15,3932872,Core design for flexible H-sensor for ELF,6.0,0.75,sensors,7.0,6.5,6.0,6.2,-152171.0,2,Negative Net Present Value in base scenario
16,3933028,Air/fuel ratio sensor for air/fuel ratios in excess of stoichiometry,5.95,0.75,sensors,6.5,7.5,6.0,6.8,-211354.0,2,Negative Net Present Value in base scenario
17,3933029,Gas detector with automatically operable fan switch,5.95,0.75,sensors,5.5,6.5,7.5,7.0,-175898.0,2,Negative Net Present Value in base scenario
18,3930726,System for measuring volumetric ratios of liquid suspended solids,5.94,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
19,3930494,Method and apparatus for the indirect measurement of blood pressure,5.91,0.75,sensors,5.0,6.5,7.5,7.0,-159221.0,2,Negative Net Present Value in base scenario
20,3930397,Combustion testing apparatus,5.87,0.75,materials,6.5,5.5,7.5,6.5,-140188.0,2,Negative Net Present Value in base scenario
21,3930630,Vacuum cleaner support apparatus,5.87,0.75,apparatus,6.5,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
22,3930734,Process and apparatus for sensing magnitude and direction of lateral displacement,5.87,0.75,sensors,7.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
23,3930730,Interferometric device for measurement of variations in length of a sample under the influence of temperature,5.87,0.75,sensors,7.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
24,3934143,Detector for ionizing radiation,5.87,0.75,sensors,7.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
25,3931521,Dual spectrum infrared fire detector,5.87,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
26,3930406,Cigarette ends firmness detector,5.84,0.75,sensors,5.5,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
27,3930324,Mechanical excavating machines including rotary cutter and suction tube,5.84,0.75,sensors,5.5,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
28,3931571,Eddy current metal surface flaw detector,5.82,0.75,sensors,5.5,7.0,6.0,6.5,-128274.0,2,Negative Net Present Value in base scenario
29,3931619,Overtemperature monitor and integrator apparatus,5.79,0.75,sensors,5.0,7.0,6.0,6.5,-104438.0,2,Negative Net Present Value in base scenario
30,3930412,Electrically scanned pressure transducer configurations,5.79,0.75,sensors,5.0,7.0,6.0,6.5,-104438.0,2,Negative Net Present Value in base scenario
31,3930545,Tiltable coupling,5.79,0.75,sensors,6.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
32,3935079,Method and apparatus for displaying active oxygen and sensor temperature,5.78,0.75,sensors,7.0,6.5,6.0,6.2,-184621.0,2,Negative Net Present Value in base scenario
33,3935464,Multiple cathode gas proportional detector,5.77,0.75,sensors,5.5,7.0,6.0,6.5,-153447.0,2,Negative Net Present Value in base scenario
34,3931538,Signal detector for a semiconductor memory device,5.77,0.75,sensors,5.0,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
35,3932108,Apparatus for making probe covers for electronic thermometers,5.77,0.75,apparatus,5.5,5.5,7.5,6.5,-116356.0,2,Negative Net Present Value in base scenario
36,3932738,Transition monitor for a unit transition counter,5.75,0.75,sensors,6.5,6.5,6.0,6.2,-164036.0,2,Negative Net Present Value in base scenario
37,3930622,Energy storing safety belt retractor,5.74,0.75,materials,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
38,3930360,Alarm clock timer,5.74,0.75,control_systems,6.5,5.0,7.5,6.2,-127742.0,2,Negative Net Present Value in base scenario
39,3930405,Method and means for measuring acoustic emissions,5.74,0.75,sensors,5.0,6.5,6.0,6.2,-127742.0,2,Negative Net Present Value in base scenario
40,3935468,Light responsive detector,5.74,0.75,sensors,5.0,7.0,6.0,6.5,-128274.0,2,Negative Net Present Value in base scenario
41,3933248,Bird-swing detector,5.74,0.75,sensors,6.5,6.5,6.0,6.2,-166479.0,2,Negative Net Present Value in base scenario
42,3933438,Combustible gas sensor for closed loop fuel control,5.74,0.75,sensors,7.0,6.5,6.0,6.2,-207226.0,2,Negative Net Present Value in base scenario
43,3930422,Power transmission apparatus,5.72,0.75,apparatus,5.0,5.5,7.5,6.5,-104438.0,2,Negative Net Present Value in base scenario
44,3930404,"Inside diameter, outside diameter and wall tube gage",5.72,0.75,materials,5.0,5.5,7.5,6.5,-104438.0,2,Negative Net Present Value in base scenario
45,3935433,Electromagnetically operated remote meter or register having counter wheel locking means,5.72,0.75,apparatus,5.0,5.5,7.5,6.5,-104438.0,2,Negative Net Present Value in base scenario
46,3932763,Detector for tubular transparent article,5.72,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
47,3931559,Malfunction detector circuit for the use with a pump-off control circuit,5.7,0.75,sensors,6.5,6.5,6.0,6.2,-185583.0,2,Negative Net Present Value in base scenario
48,3930409,Horsepower computing network for chassis dynamometers,5.69,0.75,energy,5.0,6.0,7.0,6.5,-127742.0,2,Negative Net Present Value in base scenario
49,3931573,Radiation detector,5.69,0.75,sensors,5.0,7.0,6.0,6.5,-153447.0,2,Negative Net Present Value in base scenario
50,3934193,Electrolytic conductivity detector,5.69,0.75,sensors,6.5,6.5,6.0,6.2,-191562.0,2,Negative Net Present Value in base scenario
51,3930669,Steerable trailer suspension system,5.67,0.75,materials,6.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
52,3934099,"Bias, feedback and network arrangements for hybrid circuits",5.67,0.75,control_systems,7.0,5.0,7.0,6.0,-142457.0,2,Negative Net Present Value in base scenario
53,3930289,Coupling device,5.64,0.75,apparatus,7.0,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
54,3931736,Improved fluid flow sensor configuration,5.64,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
55,3932718,Intrusion detector,5.64,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
56,3935466,Smoke detector adapted to a smoke sensing apparatus,5.64,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
57,3931549,Control circuit for electromagnetic transducer,5.64,0.75,control_systems,5.0,5.0,7.5,6.2,-142457.0,2,Negative Net Present Value in base scenario
58,3935394,Network routing and control arrangement,5.62,0.75,control_systems,7.0,5.0,7.0,6.0,-164036.0,2,Negative Net Present Value in base scenario
59,3935384,Network for generating a CRT control signal for enhancing the edges of television images,5.62,0.75,control_systems,6.5,5.0,7.0,6.0,-127742.0,2,Negative Net Present Value in base scenario
60,3934132,Shift network for dual width operands,5.59,0.75,control_systems,6.5,5.0,7.0,6.0,-142457.0,2,Negative Net Present Value in base scenario
61,3930574,Apparatus for orienting and accumulating containers,5.57,0.75,apparatus,6.5,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
62,3930533,Continuous casting apparatus with flexible starting bar which is gear-rack supported in storage position,5.57,0.75,control_systems,6.5,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
63,3931610,Capacitive keyswitch sensor and method,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
64,3932813,Eddy current sensor,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
65,3930755,Air-pressure actuated slurry pump,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
66,3930629,Overheated journal bearing derailment prevention system,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
67,3934475,Capacitance type material level detector for hoppers,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
68,3932821,Out of lock detector for phase lock loop synthesizer,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
69,3931739,Negative pressure detector,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
70,3931607,Array transducer angular tracking system,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
71,3935492,Ionization smoke detector,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
72,3932851,Aerosol detector,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
73,3930817,Extraction apparatus,5.56,0.75,apparatus,5.0,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
74,3933081,Fluid control circuit for a radio controlled vehicle,5.54,0.75,control_systems,6.5,5.5,6.0,5.8,-116356.0,2,Negative Net Present Value in base scenario
75,3930652,Portable lawn playing checker apparatus,5.54,0.75,apparatus,7.0,5.5,6.0,5.8,-155641.0,2,Negative Net Present Value in base scenario
76,3930783,Primary control means for furnaces,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
77,3933039,Pulse flow detector,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
78,3935416,Inductor-workpiece position detector,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
79,3934145,Ionization smoke detector and alarm system,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
80,3935493,Radiation detector using double amplification,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
81,3930789,Device for preheating waste gases of an exhaust conduit,5.53,0.75,apparatus,7.0,5.0,6.0,5.5,-160234.0,2,Negative Net Present Value in base scenario
82,3930433,Automatic firearms with bolt assisted by an additional mass,5.52,0.75,enabling_technology,5.0,5.0,7.5,6.2,-127742.0,2,Negative Net Present Value in base scenario
83,3931523,Activation neutron detector,5.52,0.75,sensors,5.0,6.5,6.0,6.2,-166479.0,2,Negative Net Present Value in base scenario
84,3935089,Oxygen sensor coated with catalytic material,5.51,0.75,sensors,5.5,6.5,6.0,6.2,-207226.0,2,Negative Net Present Value in base scenario
85,3930317,Electronic azimuth transfer method and system,5.49,0.75,process,5.0,5.0,7.5,6.2,-142457.0,2,Negative Net Present Value in base scenario
86,3931576,Automatic gain control circuit for radio receiver,5.49,0.75,control_systems,5.0,5.0,7.5,6.2,-142457.0,2,Negative Net Present Value in base scenario
87,3931676,Portable power saw apparatus,5.49,0.75,apparatus,6.5,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
88,3930486,Convertible baseball and tennis practice machine,5.44,0.75,control_systems,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
89,3930495,Invalid exercising device,5.44,0.75,apparatus,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
90,3930547,Snow vehicle suspension system,5.44,0.75,control_systems,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
91,3930764,Air tool overspeed shutoff device,5.44,0.75,apparatus,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
