Rank,Patent_Number,Title,Integrated_Score,Confidence,Technology_Theme,Scientific_Robustness,Manufacturing_Feasibility,Modernization_Potential,Strategic_Fit,NPV_Base,NPV_P10,NPV_P90,Product_Value_Estimate,Serviceable_Market_Size,Benchmark_Industry,Recommendation_Tier,Red_Flags
1,3930752,Oil well pumpoff control system utilizing integration timer,6.6,0.45,sensors,6.5,7.0,7.5,7.2,-7757.0,-22431.0,9584.0,301801.0,450000.0,Electronics (General),1,Negative NPV in base scenario
2,3932795,Servo control positioning apparatus including a standing wave detector,6.6,0.47,sensors,6.5,7.0,7.5,7.2,-12196.0,-23762.0,4318.0,234734.0,350000.0,Electronics (General),1,Negative NPV in base scenario
3,3935542,Contactless oscillator-type proximity sensor with constant-voltage impedance,6.52,0.76,sensors,6.5,6.5,7.0,6.8,132742.0,91220.0,178510.0,1681035.0,975000.0,Software  (System & Application),2,
4,3932246,Gas sensor and method of manufacture,6.51,0.78,sensors,7.0,7.5,6.0,6.8,150289.0,109071.0,192904.0,598743.0,975000.0,Electronics (General),2,
5,3930684,Automatic wafer feeding and pre-alignment apparatus and method,6.5,0.77,sensors,6.5,6.5,7.5,7.0,137765.0,95945.0,177936.0,548848.0,825000.0,Electronics (General),2,
6,3934205,"Frequency lock loop employing a gated frequency difference detector having positive, zero and negative threshold detectors",6.47,0.73,sensors,6.5,6.5,7.5,7.0,61726.0,36625.0,88552.0,335334.0,500000.0,Electronics (General),2,
7,3933612,Glass electrode structure for radio capsule,6.44,0.56,sensors,7.0,6.5,6.0,6.2,-24635.0,-45474.0,-1557.0,368868.0,550000.0,Electronics (General),2,Negative NPV in base scenario
8,3933028,Air/fuel ratio sensor for air/fuel ratios in excess of stoichiometry,6.43,0.77,sensors,6.5,7.5,6.0,6.8,158796.0,111082.0,207824.0,632634.0,1075000.0,Electronics (General),2,
9,3930281,Floor cleaning machine,6.43,0.78,apparatus,6.5,5.5,7.5,6.5,-46903.0,-59978.0,-34351.0,94973.0,350000.0,Farming/Agriculture,2,Negative NPV in base scenario
10,3935381,Electronic solid state sensor image size control,6.39,0.59,sensors,5.0,7.0,7.5,7.2,46432.0,8010.0,83411.0,653902.0,975000.0,Electronics (General),1,
